Mali,country,,COUNTRY,,
Koury,commune,677,COMMUNE,Yorosso,
Mahou,commune,677,COMMUNE,Yorosso,
Menamba 1,commune,677,COMMUNE,Yorosso,
Ourikela,commune,677,COMMUNE,Yorosso,
Yorosso,commune,677,COMMUNE,Yorosso,
Tombouctou,region,1,REGION,Mali,
Diré,cercle,687,CERCLE,Tombouctou,
Arham,commune,688,COMMUNE,Diré,
Binga,commune,688,COMMUNE,Diré,
Bourem Sidi Amar,commune,688,COMMUNE,Diré,
Dangha,commune,688,COMMUNE,Diré,
Diré,commune,688,COMMUNE,Diré,
Garbakoira,commune,688,COMMUNE,Diré,
Haibongo,commune,688,COMMUNE,Diré,
Kirchamba,commune,688,COMMUNE,Diré,
Kondi,commune,688,COMMUNE,Diré,
Sareyamou,commune,688,COMMUNE,Diré,
Tienkour,commune,688,COMMUNE,Diré,
Tindirma,commune,688,COMMUNE,Diré,
Tingueréguif,commune,688,COMMUNE,Diré,
Goundam,cercle,687,CERCLE,Tombouctou,
Adarmalane,commune,702,COMMUNE,Goundam,
Alzounoub,commune,702,COMMUNE,Goundam,
Bintagoungou,commune,702,COMMUNE,Goundam,
Douekire,commune,702,COMMUNE,Goundam,
Doukouria,commune,702,COMMUNE,Goundam,
Essakane,commune,702,COMMUNE,Goundam,
Gargando,commune,702,COMMUNE,Goundam,
Goundam,commune,702,COMMUNE,Goundam,
Issa Bery,commune,702,COMMUNE,Goundam,
Kaneye,commune,702,COMMUNE,Goundam,
M'bouna,commune,702,COMMUNE,Goundam,
Raz El Ma,commune,702,COMMUNE,Goundam,
Tele,commune,702,COMMUNE,Goundam,
Tilemsi,commune,702,COMMUNE,Goundam,
Tin Aicha,commune,702,COMMUNE,Goundam,
Tonka,commune,702,COMMUNE,Goundam,
Gourma-rharous,cercle,687,CERCLE,Tombouctou,
Bambara Maoude,commune,719,COMMUNE,Gourma-rharous,
Banicane,commune,719,COMMUNE,Gourma-rharous,
Gossi,commune,719,COMMUNE,Gourma-rharous,
Hamzakona,commune,719,COMMUNE,Gourma-rharous,
Haribomo,commune,719,COMMUNE,Gourma-rharous,
Inadiatafane,commune,719,COMMUNE,Gourma-rharous,
Ouinerden,commune,719,COMMUNE,Gourma-rharous,
Rharous,commune,719,COMMUNE,Gourma-rharous,
Serere,commune,719,COMMUNE,Gourma-rharous,
Niafunké,cercle,687,CERCLE,Tombouctou,
Banikane,commune,729,COMMUNE,Niafunké,
Dianke,commune,729,COMMUNE,Niafunké,
Fitounga,commune,729,COMMUNE,Niafunké,
Koumaira,commune,729,COMMUNE,Niafunké,
Lere,commune,729,COMMUNE,Niafunké,
N'gorkou,commune,729,COMMUNE,Niafunké,
Souboundou,commune,729,COMMUNE,Niafunké,
Soumpi,commune,729,COMMUNE,Niafunké,
Tombouctou,cercle,687,CERCLE,Tombouctou,
Alafia,commune,738,COMMUNE,Tombouctou,
Ber,commune,738,COMMUNE,Tombouctou,
Bourem-inaly,commune,738,COMMUNE,Tombouctou,
Lafia,commune,738,COMMUNE,Tombouctou,
Salam,commune,738,COMMUNE,Tombouctou,
Tombouctou,commune,738,COMMUNE,Tombouctou,
Bamako,district,1,DISTRICT,Mali,
Bamako,cercle,745,CERCLE,Bamako,
Commune I,commune,746,COMMUNE,Bamako,
Commune II,commune,746,COMMUNE,Bamako,
Commune III,commune,746,COMMUNE,Bamako,
Commune IV,commune,746,COMMUNE,Bamako,
Commune V,commune,746,COMMUNE,Bamako,
Commune VI,commune,746,COMMUNE,Bamako,
